dataset,layers,benchmark_auc,simulated_auc
mnist_0,none,0.983,0.983
mnist_0,batchnorm,0.983,0.988
mnist_0,dropout,0.983,0.985
mnist_0,whitening,0.983,0.986
mnist_0,attention,0.983,0.991
mnist_0,residual,0.983,0.99
mnist_0,layernorm,0.983,0.987
mnist_0,dense,0.983,0.986
mnist_0,"batchnorm,dropout",0.983,0.99
mnist_0,"batchnorm,whitening",0.983,0.991
mnist_0,"batchnorm,attention",0.983,0.996
mnist_0,"batchnorm,residual",0.983,0.995
mnist_0,"batchnorm,layernorm",0.983,0.992
mnist_0,"batchnorm,dense",0.983,0.991
mnist_0,"dropout,whitening",0.983,0.988
mnist_0,"dropout,attention",0.983,0.993
mnist_0,"dropout,residual",0.983,0.992
mnist_0,"dropout,layernorm",0.983,0.989
mnist_0,"dropout,dense",0.983,0.988
mnist_0,"whitening,attention",0.983,0.994
mnist_0,"whitening,residual",0.983,0.993
mnist_0,"whitening,layernorm",0.983,0.99
mnist_0,"whitening,dense",0.983,0.989
mnist_0,"attention,residual",0.983,0.996
mnist_0,"attention,layernorm",0.983,0.995
mnist_0,"attention,dense",0.983,0.994
mnist_0,"residual,layernorm",0.983,0.994
mnist_0,"residual,dense",0.983,0.993
mnist_0,"layernorm,dense",0.983,0.99
mnist_0,"batchnorm,dropout,whitening",0.983,0.993
mnist_0,"batchnorm,dropout,attention",0.983,0.996
mnist_0,"batchnorm,dropout,residual",0.983,0.996
mnist_0,"batchnorm,dropout,layernorm",0.983,0.994
mnist_0,"batchnorm,dropout,dense",0.983,0.993
mnist_0,"batchnorm,whitening,attention",0.983,0.996
mnist_0,"batchnorm,whitening,residual",0.983,0.996
mnist_0,"batchnorm,whitening,layernorm",0.983,0.995
mnist_0,"batchnorm,whitening,dense",0.983,0.994
mnist_0,"batchnorm,attention,residual",0.983,0.996
mnist_0,"batchnorm,attention,layernorm",0.983,0.996
mnist_0,"batchnorm,attention,dense",0.983,0.996
mnist_0,"batchnorm,residual,layernorm",0.983,0.996
mnist_0,"batchnorm,residual,dense",0.983,0.996
mnist_0,"batchnorm,layernorm,dense",0.983,0.995
mnist_0,"dropout,whitening,attention",0.983,0.996
mnist_0,"dropout,whitening,residual",0.983,0.995
mnist_0,"dropout,whitening,layernorm",0.983,0.992
mnist_0,"dropout,whitening,dense",0.983,0.991
mnist_0,"dropout,attention,residual",0.983,0.996
mnist_0,"dropout,attention,layernorm",0.983,0.996
mnist_0,"dropout,attention,dense",0.983,0.996
mnist_0,"dropout,residual,layernorm",0.983,0.996
mnist_0,"dropout,residual,dense",0.983,0.995
mnist_0,"dropout,layernorm,dense",0.983,0.992
mnist_0,"whitening,attention,residual",0.983,0.996
mnist_0,"whitening,attention,layernorm",0.983,0.996
mnist_0,"whitening,attention,dense",0.983,0.996
mnist_0,"whitening,residual,layernorm",0.983,0.996
mnist_0,"whitening,residual,dense",0.983,0.996
mnist_0,"whitening,layernorm,dense",0.983,0.993
mnist_0,"attention,residual,layernorm",0.983,0.996
mnist_0,"attention,residual,dense",0.983,0.996
mnist_0,"attention,layernorm,dense",0.983,0.996
mnist_0,"residual,layernorm,dense",0.983,0.996
mnist_0,"batchnorm,dropout,whitening,attention",0.983,0.996
mnist_0,"batchnorm,dropout,whitening,residual",0.983,0.996
mnist_0,"batchnorm,dropout,whitening,layernorm",0.983,0.996
mnist_0,"batchnorm,dropout,whitening,dense",0.983,0.996
mnist_0,"batchnorm,dropout,attention,residual",0.983,0.996
mnist_0,"batchnorm,dropout,attention,layernorm",0.983,0.996
mnist_0,"batchnorm,dropout,attention,dense",0.983,0.996
mnist_0,"batchnorm,dropout,residual,layernorm",0.983,0.996
mnist_0,"batchnorm,dropout,residual,dense",0.983,0.996
mnist_0,"batchnorm,dropout,layernorm,dense",0.983,0.996
mnist_0,"batchnorm,whitening,attention,residual",0.983,0.996
mnist_0,"batchnorm,whitening,attention,layernorm",0.983,0.996
mnist_0,"batchnorm,whitening,attention,dense",0.983,0.996
mnist_0,"batchnorm,whitening,residual,layernorm",0.983,0.996
mnist_0,"batchnorm,whitening,residual,dense",0.983,0.996
mnist_0,"batchnorm,whitening,layernorm,dense",0.983,0.996
mnist_0,"batchnorm,attention,residual,layernorm",0.983,0.996
mnist_0,"batchnorm,attention,residual,dense",0.983,0.996
mnist_0,"batchnorm,attention,layernorm,dense",0.983,0.996
mnist_0,"batchnorm,residual,layernorm,dense",0.983,0.996
mnist_0,"dropout,whitening,attention,residual",0.983,0.996
mnist_0,"dropout,whitening,attention,layernorm",0.983,0.996
mnist_0,"dropout,whitening,attention,dense",0.983,0.996
mnist_0,"dropout,whitening,residual,layernorm",0.983,0.996
mnist_0,"dropout,whitening,residual,dense",0.983,0.996
mnist_0,"dropout,whitening,layernorm,dense",0.983,0.995
mnist_0,"dropout,attention,residual,layernorm",0.983,0.996
mnist_0,"dropout,attention,residual,dense",0.983,0.996
mnist_0,"dropout,attention,layernorm,dense",0.983,0.996
mnist_0,"dropout,residual,layernorm,dense",0.983,0.996
mnist_0,"whitening,attention,residual,layernorm",0.983,0.996
mnist_0,"whitening,attention,residual,dense",0.983,0.996
mnist_0,"whitening,attention,layernorm,dense",0.983,0.996
mnist_0,"whitening,residual,layernorm,dense",0.983,0.996
mnist_0,"attention,residual,layernorm,dense",0.983,0.996
mnist_0,"batchnorm,dropout,whitening,attention,residual",0.983,0.996
mnist_0,"batchnorm,dropout,whitening,attention,layernorm",0.983,0.996
mnist_0,"batchnorm,dropout,whitening,attention,dense",0.983,0.996
mnist_0,"batchnorm,dropout,whitening,residual,layernorm",0.983,0.996
mnist_0,"batchnorm,dropout,whitening,residual,dense",0.983,0.996
mnist_0,"batchnorm,dropout,whitening,layernorm,dense",0.983,0.996
mnist_0,"batchnorm,dropout,attention,residual,layernorm",0.983,0.996
mnist_0,"batchnorm,dropout,attention,residual,dense",0.983,0.996
mnist_0,"batchnorm,dropout,attention,layernorm,dense",0.983,0.996
mnist_0,"batchnorm,dropout,residual,layernorm,dense",0.983,0.996
mnist_0,"batchnorm,whitening,attention,residual,layernorm",0.983,0.996
mnist_0,"batchnorm,whitening,attention,residual,dense",0.983,0.996
mnist_0,"batchnorm,whitening,attention,layernorm,dense",0.983,0.996
mnist_0,"batchnorm,whitening,residual,layernorm,dense",0.983,0.996
mnist_0,"batchnorm,attention,residual,layernorm,dense",0.983,0.996
mnist_0,"dropout,whitening,attention,residual,layernorm",0.983,0.996
mnist_0,"dropout,whitening,attention,residual,dense",0.983,0.996
mnist_0,"dropout,whitening,attention,layernorm,dense",0.983,0.996
mnist_0,"dropout,whitening,residual,layernorm,dense",0.983,0.996
mnist_0,"dropout,attention,residual,layernorm,dense",0.983,0.996
mnist_0,"whitening,attention,residual,layernorm,dense",0.983,0.996
mnist_0,"batchnorm,dropout,whitening,attention,residual,layernorm",0.983,0.996
mnist_0,"batchnorm,dropout,whitening,attention,residual,dense",0.983,0.996
mnist_0,"batchnorm,dropout,whitening,attention,layernorm,dense",0.983,0.996
mnist_0,"batchnorm,dropout,whitening,residual,layernorm,dense",0.983,0.996
mnist_0,"batchnorm,dropout,attention,residual,layernorm,dense",0.983,0.996
mnist_0,"batchnorm,whitening,attention,residual,layernorm,dense",0.983,0.996
